scientific_name,latitude,longitude,timestamp_occ,timestamp_round,lat_round,lon_round,timestamp_ocean
Munidopsis scobina,12.47,74.15,2013-08-24,2013-08-24,12.47,74.15,
Agononida prolixa,12.74,93.11,2016-04-10,2016-04-10,12.74,93.11,
Munida andamanica,10.17,75.66,2020-02-21,2020-02-21,10.17,75.66,
Agononida,7.01,77.32,2020-02-14,2020-02-14,7.01,77.32,
Munida andamanica,13.03,92.17,2015-01-18,2015-01-18,13.03,92.17,
Agononida prolixa,10.86,92.19,2015-01-26,2015-01-26,10.86,92.19,
Munidopsis scobina,17.05,83.3,2010-09-02,2010-09-02,17.05,83.3,
Munidopsis scobina,10.99,80.43,2020-03-07,2020-03-07,10.99,80.43,
Munidopsis scobina,11.13,80.2,2010-08-27,2010-08-27,11.13,80.2,
Munida andamanica,11.1,80.32,2010-08-26,2010-08-26,11.1,80.32,
Munidopsis regia,11.1,80.32,2010-08-26,2010-08-26,11.1,80.32,
Munidopsis wardeni,14.26,73.26,2010-10-15,2010-10-15,14.26,73.26,
Agononida prolixa,13.03,93.1,2010-09-16,2010-09-16,13.03,93.1,
Munidopsis stylirostris,8.08,76.12,2017-10-24,2017-10-24,8.08,76.12,
Neolithodes indicus,7.79,76.46,2013-07-15,2013-07-15,7.79,76.46,
Neolithodes indicus,7.86,76.41,2014-07-25,2014-07-25,7.86,76.41,
Neolithodes indicus,8.29,76.03,2013-09-10,2013-09-10,8.29,76.03,
Munida andamanica,12.47,74.15,2013-08-24,2013-08-24,12.47,74.15,
Eumunida multispina,8.36,76.3,2020-09-25,2020-09-25,8.36,76.3,
Agononida prolixa,12.81,93.08,2010-09-17,2010-09-17,12.81,93.08,
Munida andamanica,10.07,75.62,2010-10-14,2010-10-14,10.07,75.62,
Munidopsis unguifera,10.07,75.62,2010-10-14,2010-10-14,10.07,75.62,
Munidopsis scobina,10.07,75.62,2010-10-14,2010-10-14,10.07,75.62,
Munidopsis regia,11.15,92.33,2010-09-19,2010-09-19,11.15,92.33,
Munida andamanica,8.01,76.43,2013-12-10,2013-12-10,8.01,76.43,
Munidopsis scobina,12.12,80.33,2011-11-05,2011-11-05,12.12,80.33,
Munida andamanica,11.21,92.36,2015-01-15,2015-01-15,11.21,92.36,
Munida andamanica,12.22,74.33,2012-08-23,2012-08-23,12.22,74.33,
Munida andamanica,10.86,92.19,2015-01-26,2015-01-26,10.86,92.19,
Munida andamanica,8.28,76.52,2017-10-26,2017-10-26,8.28,76.52,
Munidopsis wardeni,17.62,72.01,2018-01-15,2018-01-15,17.62,72.01,
Munidopsis stylirostris,8.01,76.43,2013-12-10,2013-12-10,8.01,76.43,
Paralomis indica,8.64,76.1,2020-09-23,2020-09-23,8.64,76.1,
Munidopsis bhavasagara,8.42,75.92,2013-12-11,2013-12-11,8.42,75.92,
Munidopsis unguifera,11.95,80.15,2019-11-29,2019-11-29,11.95,80.15,
