scientific_name,latitude,longitude,timestamp
Nephropsis stewarti,6.64,93.68,2010-09-24
Nephropsis stewarti,7.52,93.4,2010-09-24
Nephropsis,10.73,80.64,2011-11-07
Nephropsis,10.92,80.36,2011-11-08
Nephropsis stewarti,10.92,80.36,2011-11-08
Nephropsis stewarti,11.16,92.39,2011-11-22
Nephropsis,13.22,93.18,2011-11-27
Nephropsis stewarti,6.84,93.05,2011-12-10
Nephropsis carpenteri,12.1,74.32,2013-08-26
Nephropsis stewarti,11.35,92.39,2015-01-11
Nephropsis rahayuae,13.03,92.17,2015-01-18
Nephropsis rahayuae,10.9,93.07,2010-09-15
Nephropsis stewarti,10.86,92.19,2015-01-26
Nephropsis rahayuae,6.83,93.76,2015-02-01
Nephropsis rahayuae,13.24,93.17,2016-04-11
Nephropsis carpenteri,15.66,72.68,2018-02-27
Nephropsis carpenteri,13.37,80.65,2019-11-08
Nephropsis carpenteri,11.96,80.15,2019-11-29
Nephropsis carpenteri,15.76,72.36,2019-01-01
Nephropsis stewarti,8.24,76.49,2020-02-29
Nephropsis ensirostris,14.26,73.26,2010-10-15
Nephropsis ensirostris,8.36,76.24,2017-10-25
Nephropsis stewarti,11.15,92.33,2010-09-19
Nephropsis stewarti,10.9,93.07,2010-09-15
Nephropsis stewarti,11.91,80.14,2011-11-09
Nephropsis stewarti,7.75,93.21,2011-12-13
Nephropsis stewarti,12.14,93.19,2016-04-11
Nephropsis stewarti,11.19,92.34,2016-04-14
Nephropsis stewarti,13.27,93.26,2017-11-26
Nephropsis sulcata,8.41,75.89,2013-07-17
Nephropsis sulcata,8.01,76.43,2013-12-10
Acanthacaris tenuimana,8.01,76.43,2013-12-10
Nephropsis rahayuae,6.84,93.05,2011-12-10
Nephropsis carpenteri,11.95,80.15,2019-11-29
Guyanacaris keralam,12.1,74.32,2013-08-26
Paragourretia galathea,11.36,74.91,2015-05-25
Paragourretia galathea,15.47,73.07,2015-05-22
Charybdis (Archias) smithii,11.99,74.43,2011-08-08
Charybdis (Archias) smithii,12.91,92.45,2010-09-14
Charybdis (Archias) smithii,10.68,92.31,2010-09-20
Raninoides personatus,9.93,75.57,2015-05-27
Calappa gallus,10.72,92.71,2019-08-10
Tanaoa pustulosus,11.35,92.39,2015-01-11
Pleistacantha pungens,11.35,92.39,2015-01-11
Calappa guerini,15.47,73.07,2015-05-22
Pleistacantha pungens,13.03,92.17,2015-01-18
Paramaja gibba,11.35,92.39,2015-01-11
Calappa philargius,8.51,76.84,2015-05-28
Ethusa andamanica,7.22,77.53,2015-05-30
Urashima lamellidentatus,11.35,92.39,2015-01-11
Homolax megalops,11.35,92.39,2015-01-11
Homolax megalops,13.03,92.17,2015-01-18
Homolax megalops,10.86,92.19,2015-01-26
Mursia bicristimana,6.84,93.05,2011-12-10
Euclosiana nitida,22.49,68.19,2018-02-22
Euclosiana unidentata,15.47,73.07,2015-05-22
Urnalana pulchella,11.35,75.3,2015-05-25
Urnalana pulchella,7.44,77.6,2015-05-30
Arcania cornuta,15.47,73.07,2015-05-22
Arcania cornuta,22.49,68.19,2018-02-22
Arcania gracilis,11.35,75.3,2015-05-25
Arcania septemspinosa,22.49,68.19,2018-02-22
Arcania undecimspinosa,22.49,68.19,2018-02-22
Ebalia woodmasoni,11.35,75.3,2015-05-25
Myra brevimana,8.51,76.84,2015-05-28
Myra brevimana,12.82,74.51,2015-05-24
Myra brevimana,11.35,75.3,2015-05-25
Benthochascon hemingi,12.83,93.21,2010-09-17
Myra fugax,22.49,68.19,2018-02-22
Benthochascon hemingi,13.03,92.17,2015-01-18
Nursilia dentata,9.93,75.85,2015-05-26
Parilia alcocki,12.89,73.98,2015-05-24
Tokoyo eburnea,10.79,80.11,2019-11-30
Arcania brevifrons,10.79,80.11,2019-11-30
Paromolopsis boasi,7.52,93.4,2010-09-24
Myra brevimana,10.79,80.11,2019-11-30
Homolax megalops,12.78,93.08,2010-09-17
Lyphira perplexa,11.35,75.57,2015-05-25
Tokoyo eburnea,15.47,73.07,2015-05-22
Tokoyo eburnea,7.44,77.6,2015-05-30
Pariphiculus coronatus,15.47,73.07,2015-05-22
Pariphiculus coronatus,11.35,75.3,2015-05-25
Benthochascon hemingi,6.64,93.68,2010-09-24
Phalangipus hystrix,15.47,73.07,2015-05-22
Chorinachus dolichorhynchus,7.22,77.53,2015-05-30
Platymaia alcocki,7.75,93.21,2011-12-13
Carcinoplax indica,6.64,93.68,2010-09-24
Pleistacantha pungens,7.75,93.21,2011-12-13
Nectopanope rhodobaphes,7.21,77.17,2017-01-22
Kasagia sudhakari,7.44,77.6,2015-05-30
Cryptopodia contracta,11.35,75.3,2015-05-25
Parthenope longimanus,9.93,75.85,2015-05-26
Monomia gladiator,11.35,75.57,2015-05-25
Monomia gladiator,8.51,76.84,2015-05-28
Retropluma notopus,9.93,75.57,2015-05-27
Dicranodromia baffini,13.27,93.26,2017-11-26
Homolochunia valdiviae,13.27,93.26,2017-11-26
Gordonopsis robusta,13.27,93.26,2017-11-26
Homolax megalops,13.0,93.11,2011-11-28
Neopalicus contractus,6.65,93.83,2019-08-16
Homolax megalops,12.49,93.18,2017-11-25
Homolax megalops,11.8,92.09,2017-11-28
Homolax megalops,12.53,93.15,2016-04-10
Homolax megalops,12.74,93.11,2016-04-10
Homolax megalops,11.93,92.28,2016-04-12
Homolax megalops,12.14,93.19,2016-04-11
Homolax megalops,13.24,93.17,2016-04-11
Homolax megalops,6.84,93.05,2011-12-10
Petalomera indica,8.0,93.65,2017-01-13
Homolax megalops,7.75,93.21,2011-12-13
Homolax megalops,13.03,93.1,2010-09-16
Homolax megalops,13.22,93.18,2011-11-27
Tanaoa pustulosus,13.03,92.17,2015-01-18
Pleistacantha pungens,8.24,76.49,2020-02-29
Encephaloides armstrongi,17.1,83.3,2020-03-12
Paromolopsis boasi,8.24,76.49,2020-02-29
Prismatopus longispinus,8.0,93.65,2017-01-13
Paromolopsis boasi,10.73,80.64,2011-11-07
Parilia alcocki,9.98,75.59,2010-08-08
Homolax megalops,10.17,75.66,2020-02-21
Mursia bicristimana,10.17,75.66,2020-02-21
Homolax megalops,11.16,92.39,2011-11-22
Homolodromia rajeevani,10.73,80.64,2011-11-07
Paromolopsis boasi,12.12,80.33,2011-11-05
Paromolopsis boasi,13.27,93.26,2017-11-26
Paromolopsis boasi,11.8,92.09,2017-11-28
Ethusa andamanica,13.0,93.11,2011-11-28
Mursia bicristimana,12.53,93.15,2016-04-10
Arcania undecimspinosa,10.71,93.22,2015-01-25
Parilia pattersoni,13.0,93.11,2011-11-28
Tanaoa pustulosus,7.53,93.65,2011-12-11
Tanaoa pustulosus,12.14,93.19,2016-04-11
Tanaoa pustulosus,13.27,93.26,2017-11-26
Urashima lamellidentatus,13.0,93.11,2011-11-28
Paramaja gibba,12.53,93.15,2016-04-10
Paramaja gibba,12.49,93.18,2017-11-25
Pleistacantha pungens,11.16,92.39,2011-11-22
Pleistacantha pungens,9.6,92.73,2016-04-06
Pleistacantha pungens,6.84,93.05,2011-12-10
Pleistacantha pungens,13.27,93.26,2017-11-26
Platymaia alcocki,11.16,92.39,2011-11-22
Platymaia alcocki,6.84,93.05,2011-12-10
Platymaia alcocki,12.49,93.18,2017-11-25
Cyrtomaia goodridgei,7.53,93.65,2011-12-11
Cyrtomaia goodridgei,13.27,93.26,2017-11-26
Dairoides seafdeci,13.22,93.18,2011-11-27
Dairoides seafdeci,13.0,93.11,2011-11-28
Dairoides seafdeci,9.52,92.6,2015-01-27
Dairoides seafdeci,12.53,93.15,2016-04-10
Benthochascon hemingi,6.84,93.05,2011-12-10
Benthochascon hemingi,7.75,93.21,2011-12-13
Benthochascon hemingi,8.52,93.02,2011-12-14
Carcinoplax indica,13.22,93.18,2011-11-27
Homolodromia rajeevani,14.37,73.03,2018-04-09
Homolodromia rajeevani,14.39,73.03,2018-02-28
Homolodromia rajeevani,11.01,80.3,2010-08-26
Crocydocinus saravananei,8.41,76.16,2017-10-26
Urashima lamellidentatus,11.57,92.81,2019-08-09
Cycloes marisrubri,8.44,93.59,2019-08-13
Urnalana purarensis,6.65,93.83,2019-08-16
Oncinopus neptunus,10.72,92.71,2019-08-10
Oncinopus angustifrons,10.72,92.71,2019-08-10
Pseudolambrus calappoides,10.72,92.71,2019-08-10
Pseudolambrus tarpeius,10.72,92.71,2019-08-10
Rhinolambrus longispinus,10.72,92.71,2019-08-10
Rhabdonotus pictus,8.12,93.64,2019-08-13
Cavoportunus dubius,8.44,93.59,2019-08-13
Quadrella reticulata,8.44,93.59,2019-08-13
Cyrtocarcinus truncatus,8.44,93.59,2019-08-13
Visayax osteodictyon,6.65,93.83,2019-08-16
Bruciana pediger,6.65,93.83,2019-08-16
Liomera monticulosa,6.65,93.83,2019-08-16
Xanthias joanneae,6.65,93.83,2019-08-16
Lophozozymus dodone,6.65,93.83,2019-08-16
Lissocarcinus laevis,10.72,92.71,2019-08-10
Lupocyclus tugelae,10.72,92.71,2019-08-10
Lupocyclus tugelae,10.79,80.11,2019-11-30
Lupocyclus strigosus,10.72,92.71,2019-08-10
Monomia argentata argentata,20.01,69.55,2018-11-22
Monomia argentata argentata,10.79,80.11,2019-11-30
Monomia petrea,10.72,92.71,2019-08-10
Monomia petrea,6.65,93.83,2019-08-16
Monomia rubromarginata,10.72,92.71,2019-08-10
Cycloachelous levigatus,10.79,80.11,2019-11-30
Xiphonectes tuberculosus,10.79,80.11,2019-11-30
Charybdis (Charybdis) riversandersoni,20.01,69.55,2018-11-22
Charybdis (Archias) pusilla,20.01,69.55,2018-11-22
Charybdis (Archias) pusilla,17.46,71.82,2018-11-23
Goniosupradens acutifrons,6.65,93.83,2019-08-16
Thalamita malaccensis,17.46,71.82,2018-11-23
Thalamita picta,6.65,93.83,2019-08-16
Thalamita sexlobata,10.72,92.71,2019-08-10
Thalamita oculea,10.72,92.71,2019-08-10
Thalamita oculea,6.65,93.83,2019-08-16
Thalamita sima,10.79,80.11,2019-11-30
Thalamita spinifera,10.79,80.11,2019-11-30
Parilia alcocki,12.68,74.76,2010-10-16
Parilia alcocki,12.93,73.52,2019-09-30
Calappa bilineata,9.38,75.92,2019-03-04
Calappa exanthematosa,9.5,75.7,2018-03-03
Mursia bicristimana,11.33,74.9,2013-08-27
Mursia bicristimana,14.39,73.03,2018-02-28
Mursia bicristimana,9.38,75.92,2019-03-04
Arcania brevifrons,8.5,76.85,2009-05-31
Lyphira perplexa,9.0,76.39,2009-06-03
Tokoyo eburnea,8.5,76.85,2009-05-31
Encephaloides armstrongi,12.68,74.76,2010-10-16
Encephaloides armstrongi,10.96,80.29,2016-11-20
Encephaloides armstrongi,12.6,80.65,2019-11-08
Doclea muricata,9.0,76.39,2009-06-03
Doclea muricata,11.33,74.9,2013-08-27
Samadinia riversandersoni,14.39,73.03,2018-02-28
Samadinia riversandersoni,14.37,73.03,2018-04-09
Cryptopodia collifer,8.5,76.85,2009-05-31
Carcinoplax fasciata,14.39,73.03,2018-02-28
Carcinoplax indica,14.39,73.03,2018-02-28
Lauridromia dehaani,22.49,68.19,2018-02-22
Homolax megalops,9.5,75.7,2018-03-03
Homolax megalops,10.9,93.07,2010-09-15
Homolax megalops,11.95,80.15,2019-11-29
Retropluma notopus,10.67,80.38,2019-11-30
Paromolopsis boasi,10.9,93.07,2010-09-15
Lysirude channeri,8.23,76.49,2019-12-05
Notosceles serratifrons,7.68,77.51,2019-12-04
Notosceles serratifrons,8.47,76.49,2009-05-05
Dorippoides nudipes,9.0,76.39,2009-06-03
Ethusina gracilipes,14.39,73.03,2018-02-28
